HMDB ID	KEGG ID	reference acc.
HMDB09943	C00626	HMDB0009943
HMDB0009943	C00626	HMDB0009943
HMDB09944	C00626	HMDB0009944
HMDB0009944	C00626	HMDB0009944
HMDB09945	C00626	HMDB0009945
HMDB0009945	C00626	HMDB0009945
HMDB09946	C00626	HMDB0009946
HMDB0009946	C00626	HMDB0009946
HMDB09947	C00626	HMDB0009947
HMDB0009947	C00626	HMDB0009947
HMDB09948	C00626	HMDB0009948
HMDB0009948	C00626	HMDB0009948
HMDB09950	C00626	HMDB0009950
HMDB0009950	C00626	HMDB0009950
HMDB09964	C00626	HMDB0009964
HMDB0009964	C00626	HMDB0009964
HMDB09965	C00626	HMDB0009965
HMDB0009965	C00626	HMDB0009965
HMDB09966	C00626	HMDB0009966
HMDB0009966	C00626	HMDB0009966
HMDB09967	C00626	HMDB0009967
HMDB0009967	C00626	HMDB0009967
HMDB09968	C00626	HMDB0009968
HMDB0009968	C00626	HMDB0009968
HMDB09969	C00626	HMDB0009969
HMDB0009969	C00626	HMDB0009969
HMDB09970	C00626	HMDB0009970
HMDB0009970	C00626	HMDB0009970
HMDB09971	C00626	HMDB0009971
HMDB0009971	C00626	HMDB0009971
HMDB09972	C00626	HMDB0009972
HMDB0009972	C00626	HMDB0009972
HMDB09973	C00626	HMDB0009973
HMDB0009973	C00626	HMDB0009973
HMDB09974	C00626	HMDB0009974
HMDB0009974	C00626	HMDB0009974
HMDB09976	C00626	HMDB0009976
HMDB0009976	C00626	HMDB0009976
HMDB09977	C00626	HMDB0009977
HMDB0009977	C00626	HMDB0009977
HMDB09978	C00626	HMDB0009978
HMDB0009978	C00626	HMDB0009978
HMDB09979	C00626	HMDB0009979
HMDB0009979	C00626	HMDB0009979
HMDB09980	C00626	HMDB0009980
HMDB0009980	C00626	HMDB0009980
HMDB09981	C00626	HMDB0009981
HMDB0009981	C00626	HMDB0009981
HMDB09982	C00626	HMDB0009982
HMDB0009982	C00626	HMDB0009982
HMDB09983	C00626	HMDB0009983
HMDB0009983	C00626	HMDB0009983
HMDB09984	C00626	HMDB0009984
HMDB0009984	C00626	HMDB0009984
HMDB09985	C00626	HMDB0009985
HMDB0009985	C00626	HMDB0009985
HMDB09986	C00626	HMDB0009986
HMDB0009986	C00626	HMDB0009986
HMDB09987	C00626	HMDB0009987
HMDB0009987	C00626	HMDB0009987
HMDB09988	C00626	HMDB0009988
HMDB0009988	C00626	HMDB0009988
HMDB09989	C00626	HMDB0009989
HMDB0009989	C00626	HMDB0009989
HMDB09990	C00626	HMDB0009990
HMDB0009990	C00626	HMDB0009990
HMDB09991	C00626	HMDB0009991
HMDB0009991	C00626	HMDB0009991
HMDB09992	C00626	HMDB0009992
HMDB0009992	C00626	HMDB0009992
HMDB09993	C00626	HMDB0009993
HMDB0009993	C00626	HMDB0009993
HMDB09994	C00626	HMDB0009994
HMDB0009994	C00626	HMDB0009994
HMDB09995	C00626	HMDB0009995
HMDB0009995	C00626	HMDB0009995
HMDB09996	C00626	HMDB0009996
HMDB0009996	C00626	HMDB0009996
HMDB09997	C00626	HMDB0009997
HMDB0009997	C00626	HMDB0009997
HMDB09998	C00626	HMDB0009998
HMDB0009998	C00626	HMDB0009998
HMDB09999	C00626	HMDB0009999
HMDB0009999	C00626	HMDB0009999
HMDB10000	C00626	HMDB0010000
HMDB0010000	C00626	HMDB0010000
HMDB10001	C00626	HMDB0010001
HMDB0010001	C00626	HMDB0010001
HMDB10002	C00626	HMDB0010002
HMDB0010002	C00626	HMDB0010002
HMDB10003	C00626	HMDB0010003
HMDB0010003	C00626	HMDB0010003
HMDB10004	C00626	HMDB0010004
HMDB0010004	C00626	HMDB0010004
HMDB10005	C00626	HMDB0010005
HMDB0010005	C00626	HMDB0010005
HMDB10006	C00626	HMDB0010006
HMDB0010006	C00626	HMDB0010006
HMDB10007	C00626	HMDB0010007
HMDB0010007	C00626	HMDB0010007
HMDB10008	C00626	HMDB0010008
HMDB0010008	C00626	HMDB0010008
HMDB10009	C00626	HMDB0010009
HMDB0010009	C00626	HMDB0010009
HMDB10010	C00626	HMDB0010010
HMDB0010010	C00626	HMDB0010010
HMDB10011	C00626	HMDB0010011
HMDB0010011	C00626	HMDB0010011
HMDB10012	C00626	HMDB0010012
HMDB0010012	C00626	HMDB0010012
HMDB10013	C00626	HMDB0010013
HMDB0010013	C00626	HMDB0010013
HMDB10014	C00626	HMDB0010014
HMDB0010014	C00626	HMDB0010014
HMDB10015	C00626	HMDB0010015
HMDB0010015	C00626	HMDB0010015
HMDB10016	C00626	HMDB0010016
HMDB0010016	C00626	HMDB0010016
HMDB10017	C00626	HMDB0010017
HMDB0010017	C00626	HMDB0010017
HMDB10018	C00626	HMDB0010018
HMDB0010018	C00626	HMDB0010018
HMDB10019	C00626	HMDB0010019
HMDB0010019	C00626	HMDB0010019
HMDB10020	C00626	HMDB0010020
HMDB0010020	C00626	HMDB0010020
HMDB10021	C00626	HMDB0010021
HMDB0010021	C00626	HMDB0010021
HMDB10022	C00626	HMDB0010022
HMDB0010022	C00626	HMDB0010022
HMDB10023	C00626	HMDB0010023
HMDB0010023	C00626	HMDB0010023
HMDB10024	C00626	HMDB0010024
HMDB0010024	C00626	HMDB0010024
HMDB10027	C00626	HMDB0010027
HMDB0010027	C00626	HMDB0010027
HMDB10028	C00626	HMDB0010028
HMDB0010028	C00626	HMDB0010028
HMDB10029	C00626	HMDB0010029
HMDB0010029	C00626	HMDB0010029
HMDB10030	C00626	HMDB0010030
HMDB0010030	C00626	HMDB0010030
HMDB10032	C00626	HMDB0010032
HMDB0010032	C00626	HMDB0010032
HMDB10033	C00626	HMDB0010033
HMDB0010033	C00626	HMDB0010033
HMDB10034	C00626	HMDB0010034
HMDB0010034	C00626	HMDB0010034
HMDB10035	C00626	HMDB0010035
HMDB0010035	C00626	HMDB0010035
HMDB10036	C00626	HMDB0010036
HMDB0010036	C00626	HMDB0010036
HMDB10037	C00626	HMDB0010037
HMDB0010037	C00626	HMDB0010037
HMDB10038	C00626	HMDB0010038
HMDB0010038	C00626	HMDB0010038
HMDB10039	C00626	HMDB0010039
HMDB0010039	C00626	HMDB0010039
HMDB10040	C00626	HMDB0010040
HMDB0010040	C00626	HMDB0010040
HMDB10041	C00626	HMDB0010041
HMDB0010041	C00626	HMDB0010041
HMDB10042	C00626	HMDB0010042
