KEGG ID	MAPs
C00256	map00620
C00256	map01100
C00256	map01120
C00256	map01502
C00049	map00220
C00049	map00250
C00049	map00260
C00049	map00261
C00049	map00270
C00049	map00300
C00049	map00340
C00049	map00410
C00049	map00460
C00049	map00710
C00049	map00760
C00049	map00770
C00049	map00970
C00049	map00997
C00049	map01060
C00049	map01064
C00049	map01070
C00049	map01100
C00049	map01110
C00049	map01120
C00049	map01200
C00049	map01210
C00049	map01230
C00049	map02010
C00049	map02020
C00049	map02030
C00049	map04080
C00049	map04974
C00049	map05230
C00491	map00270
C00491	map01100
C00491	map02010
C00491	map04216
C00491	map04974
C00311	map00020
C00311	map00630
C00311	map00720
C00311	map01060
C00311	map01061
C00311	map01062
C00311	map01063
C00311	map01064
C00311	map01065
C00311	map01066
C00311	map01070
C00311	map01100
C00311	map01110
C00311	map01120
C00311	map01200
C00311	map01210
C00311	map01230
C00311	map04922
C00311	map05230
C01262	map00340
C01262	map00410
C01262	map01100
C00294	map00230
C00294	map01100
C00294	map02010
C00954	map00380
C00954	map01070
C00954	map01100
C00954	map04075
C02170	map00240
C02170	map00280
C02170	map00640
C02170	map01100
C00166	map00360
C00166	map00400
C00166	map00960
C00166	map01060
C00166	map01100
C00166	map01110
C00166	map01210
C00166	map01230
C02727	map00310
C02727	map01100
C00712	map00061
C00712	map00073
C00712	map01040
C00712	map01060
C00712	map04212
C00026	map00020
C00026	map00040
C00026	map00053
C00026	map00220
C00026	map00250
C00026	map00300
C00026	map00310
C00026	map00340
C00026	map00365
C00026	map00430
C00026	map00471
C00026	map00630
C00026	map00650
C00026	map00660
C00026	map00720
C00026	map00997
C00026	map01060
C00026	map01061
C00026	map01062
C00026	map01063
C00026	map01064
C00026	map01065
C00026	map01066
C00026	map01070
C00026	map01100
C00026	map01110
C00026	map01120
C00026	map01200
C00026	map01210
C00026	map01230
C00026	map04066
C00026	map04727
C00026	map04922
C00026	map04964
C00026	map04976
C00026	map05230
C07086	map00360
C07086	map00643
C07086	map01100
C07086	map01120
C00864	map00410
C00864	map00770
C00864	map01100
C00864	map01110
C00864	map04977
